condition,range,layer,resid_post_final_token_norm
Imposed affective persona,20-25,13,71.000000
Imposed affective persona,20-25,14,83.062500
Imposed affective persona,20-25,15,90.937500
Imposed affective persona,20-25,16,99.250000
Imposed affective persona,20-25,17,110.875000
Imposed affective persona,20-25,18,128.625000
Imposed affective persona,20-25,19,140.250000
Imposed affective persona,20-25,20,165.000000
Imposed affective persona,20-25,21,193.250000
Imposed affective persona,20-25,22,225.250000
Imposed affective persona,20-25,23,247.500000
Imposed affective persona,20-25,24,290.500000
Imposed affective persona,20-25,25,351.750000
Imposed affective persona,20-25,26,391.750000
Imposed affective persona,20-25,27,422.000000
Imposed affective persona,20-25,28,476.250000
Imposed affective persona,20-25,29,541.500000
Imposed affective persona,20-25,30,606.500000
Imposed affective persona,20-25,31,1046.000000
Imposed affective persona,30-40,0,5.207031
Imposed affective persona,30-40,1,5.867188
Imposed affective persona,30-40,2,7.269531
Imposed affective persona,30-40,3,9.023438
Imposed affective persona,30-40,4,11.484375
Imposed affective persona,30-40,5,14.554688
Imposed affective persona,30-40,6,19.187500
Imposed affective persona,30-40,7,24.765625
Imposed affective persona,30-40,8,30.828125
Imposed affective persona,30-40,9,39.343750
Imposed affective persona,30-40,10,45.406250
Imposed affective persona,30-40,11,49.906250
Imposed affective persona,30-40,12,65.875000
Imposed affective persona,30-40,13,72.125000
Imposed affective persona,30-40,14,75.875000
Imposed affective persona,30-40,15,85.937500
Imposed affective persona,30-40,16,94.625000
Imposed affective persona,30-40,17,107.250000
Imposed affective persona,30-40,18,124.687500
Imposed affective persona,30-40,19,132.500000
Imposed affective persona,30-40,20,156.250000
Imposed affective persona,30-40,21,185.375000
Imposed affective persona,30-40,22,217.750000
Imposed affective persona,30-40,23,240.375000
Imposed affective persona,30-40,24,282.750000
Imposed affective persona,30-40,25,343.750000
Imposed affective persona,30-40,26,385.000000
Imposed affective persona,30-40,27,415.750000
Imposed affective persona,30-40,28,473.000000
Imposed affective persona,30-40,29,544.000000
Imposed affective persona,30-40,30,614.500000
Imposed affective persona,30-40,31,1053.000000
